BPF error,BPF num_sims,TAF error,TAF num_sims
-6.6590295,8.30103,-6.7880664,4.9999995
-9.859606,8.602059,-7.477056,4.60206
-9.39096,9.0,-10.145694,4.3979397
-7.8727093,6.3010297,-10.637912,4.9999995
62.942307,5.69897,-3.1909187,4.69897
30.835915,6.9999995,-6.1168385,4.69897
-7.5689173,7.9999995,-6.1168385,4.69897
-6.933471,7.9999995,-5.147487,3.9999998
-4.28008,7.9999995,-3.292299,4.9999995
-4.3146663,8.69897,-5.8927097,6.0
-1.7390462,8.69897,-6.2479873,4.9999995
-11.156812,8.69897,-5.5212235,1.9999999
-8.343309,8.69897,-10.430051,1.9999999
-2.8374143,8.69897,-0.40566903,1.9999999
5.179778e-05,8.69897,-4.1322083,1.9999999
-4.5377216,8.69897,-5.0622616,1.9999999
-9.830338,8.69897,-5.0622616,3.0
