BPF error,BPF num_sims, BPF success, TAF error, TAF num_sims, TAF success, SNL error, SNL num_sims, SNL success, num_timesteps, num_mcmc_steps, num_reps, lag, num_samples, num_rounds, num_particles, num_iters
2.755871,6.0,1.0,-0.436575,3.0,1.0,nan,3.0,0.0,100,1000,10,10,10,1,10,1
4.119848,6.69897,1.0,-0.86788577,3.6989696,1.0,4.297723,3.6989696,0.9,100,1000,10,10,50,1,50,1
1.0232486,6.9999995,1.0,-0.9548427,3.9999998,1.0,-0.8516043,3.9999998,1.0,100,1000,10,10,100,1,100,1
0.7408218,7.176091,1.0,-0.9277913,4.176091,1.0,-0.66225094,4.176091,1.0,100,1000,10,10,150,1,150,1
1.6181506,7.3010297,1.0,-0.94619846,4.3010297,1.0,-1.0309895,4.3010297,1.0,100,1000,10,10,200,1,200,1
0.16241984,7.397939,1.0,-0.9958294,4.3979397,1.0,-1.003343,4.3979397,1.0,100,1000,10,10,250,1,250,1
0.061499514,7.4771204,1.0,-0.9498591,4.477121,1.0,-0.9942501,4.477121,1.0,100,1000,10,10,300,1,300,1
-0.10846963,7.544068,1.0,-0.9118851,4.544068,1.0,-0.9924321,4.544068,1.0,100,1000,10,10,350,1,350,1
0.0758842,7.60206,1.0,-0.9224367,4.60206,1.0,-0.9817481,4.60206,1.0,100,1000,10,10,400,1,400,1
-0.042098045,7.653212,1.0,-0.9208068,4.653212,1.0,-0.98101455,4.653212,1.0,100,1000,10,10,450,1,450,1
-0.14939068,7.6989694,1.0,-0.9398166,4.69897,1.0,-1.0032163,4.69897,1.0,100,1000,10,10,500,1,500,1
-0.3077866,7.9999995,1.0,-0.93389696,4.9999995,1.0,-1.0335168,4.9999995,1.0,100,1000,10,10,1000,1,1000,11.0232486,6.9999995,1.0,-0.9548427,3.9999998,1.0,-0.8516043,3.9999998,1.0,100,1000,10,10,100,1,100,1
